Best Position,Nationality,Age,Height(in cm),Weight(in kg),Preferred Foot,Weak Foot Rating,Skill Moves,International Reputation,Attacking Work Rate,Defensive Work Rate,Pace Total,Shooting Total,Passing Total,Dribbling Total,Defending Total,Physicality Total,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,Freekick Accuracy,LongPassing,BallControl,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing Tackle,Sliding Tackle,Goalkeeper Diving,Goalkeeper Handling,GoalkeeperKicking,Goalkeeper Positioning,Goalkeeper Reflexes,Assignments,DistancesToClusterCenter no.0,DistancesToClusterCenter no.1,DistancesToClusterCenter no.2,DistancesToClusterCenter no.3,DistancesToClusterCenter no.4,DistancesToClusterCenter no.5,DistancesToClusterCenter no.6,DistancesToClusterCenter no.7,DistancesToClusterCenter no.8,DistancesToClusterCenter no.9,DistancesToClusterCenter no.10,DistancesToClusterCenter no.11,DistancesToClusterCenter no.12,DistancesToClusterCenter no.13
GK,Romania,26,195,89,Right,2,1,1,Medium,Medium,70,65,67,68,34,65,12,17,13,25,18,15,12,14,28,16,35,32,43,62,25,50,40,28,63,16,23,12,14,53,13,37,25,12,11,70,65,67,65,68,3,1.3943831814446,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
RM,India,21,175,68,Right,3,2,1,Medium,Medium,76,46,45,52,30,53,51,45,31,43,38,50,44,38,45,48,77,75,72,43,77,50,62,68,54,45,31,31,44,45,46,45,28,31,31,11,11,6,12,6,6,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CB,Sweden,36,184,81,Right,3,2,1,Low,High,52,36,45,48,64,72,35,32,64,54,32,42,34,29,52,49,54,51,53,62,62,51,84,65,79,30,62,64,36,39,40,61,64,64,63,11,15,14,14,9,2,1.3943831814446,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
LM,Saudi Arabia,27,176,74,Left,2,3,1,High,Medium,76,56,57,67,57,74,62,50,52,58,46,66,47,45,53,66,75,76,73,56,81,68,73,82,72,63,67,56,62,59,43,64,57,57,60,15,11,7,11,8,9,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CB,Ukraine,19,186,81,Right,2,2,1,Medium,Medium,66,36,56,58,74,73,56,33,74,72,29,52,34,38,67,59,63,68,66,73,68,45,77,74,75,34,66,74,35,32,40,69,75,75,72,14,11,10,11,13,2,1.3943831814446,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CB,Colombia,30,184,78,Right,3,2,2,Medium,High,71,40,61,63,73,77,56,37,72,72,54,58,38,26,66,63,69,72,75,72,69,68,89,67,78,13,86,75,45,58,46,75,72,73,72,14,13,8,11,14,2,1.3943831814446,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CAM,France,20,177,68,Right,3,3,1,Medium,Medium,82,58,56,67,35,46,55,58,47,57,52,67,56,49,52,64,83,82,78,57,73,64,46,49,44,51,47,31,60,58,56,60,30,37,35,11,11,13,9,10,1,1.3943831814446,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
RM,England,23,183,78,Right,3,3,1,Medium,Medium,70,51,63,65,58,65,58,50,56,67,42,65,59,60,63,66,75,65,66,59,53,56,63,71,66,47,56,56,58,63,52,69,59,60,56,9,7,8,11,8,6,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
GK,Argentina,21,185,73,Right,3,1,1,Medium,Medium,62,58,67,60,27,59,13,7,15,31,7,11,13,12,27,21,26,29,39,49,44,50,59,25,48,8,28,9,9,26,11,43,9,15,14,62,58,67,59,60,3,1.3943831814446,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
RB,France,28,177,71,Right,2,2,1,Medium,Medium,73,29,51,58,57,70,59,26,53,57,25,55,39,35,52,60,73,73,67,47,78,32,77,75,69,28,65,56,43,41,35,43,55,61,60,11,8,7,13,7,8,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
